INFO   | jvm 1    | srvmain | 2018/01/07 13:43:59.416 | INFO  [localhost-startStop-1] [RemoveDefaultSessionFixationStrategyBeanPostProcessor] Removed Spring default SessionFixationProtectionStrategy, since HybrisSessionFixationProtectionStrategy is already defined
INFO   | jvm 1    | srvmain | 2018/01/07 13:43:59.817 | INFO  [localhost-startStop-1] [HybrisContextLoaderListener] Registered HttpSession timeout listener for '/'
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:01.022 | INFO  [localhost-startStop-1] [Version] HV000001: Hibernate Validator 4.3.2.Final
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created master data source DataSourceImpl<<junit/master>>
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "alt1"
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "alt2"
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "a"
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "b"
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.136 | INFO  [localhost-startStop-1] (junit) [AbstractTenant] Created alternative data source "c"
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.638 | WARN  [localhost-startStop-1] (junit) [DefaultCacheController] Listener already registered: RegionCacheAdapter(1774417257) - <<junit>> : de.hybris.platform.cache.impl.RegionCacheAdapter
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.939 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (core) located in (core-spring.xml,core-media-spring.xml,persistence-spring.xml,core-profiling-spring.xml,core-jmx-spring.xml,core-filter-spring.xml,servicelayer-spring.xml,user-spring.xml,security-spring.xml,media-spring.xml,i18n-spring.xml,interceptor-spring.xml,event-spring.xml,test/test-core-spring.xml) took: (210.3 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.939 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (scripting) located in (scripting-spring.xml) took: (17.71 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:03.939 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (commons) located in (commons-spring.xml) took: (15.62 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.039 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (processing) located in (processing-spring.xml,cronjob-spring.xml,task-spring.xml,processengine-spring.xml,processing-jmx-spring.xml,test/test-processing-spring.xml) took: (97.63 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.039 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (impex) located in (impex-spring.xml) took: (14.37 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.039 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (validation) located in (validation-spring.xml) took: (19.57 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.139 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (europe1) located in (europe1-spring.xml) took: (14.63 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.240 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (platformservices) located in (catalog-spring.xml,order-spring.xml,product-spring.xml,category-spring.xml,classification-spring.xml,jobs-spring.xml,converters-spring.xml) took: (114.5 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.240 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (workflow) located in (workflow-spring.xml) took: (16.35 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:04.240 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Loading <<application>> spring config <junit> from extension (comments) located in (comments-spring.xml) took: (16.33 ms)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:05.242 | INFO  [localhost-startStop-1] (junit) [DefaultCacheController] Registered Listener de.hybris.platform.media.storage.impl.DefaultLocalMediaFileCacheService$MediaCacheLifecycleCallback@407d2031 on cache controller. Currently registered 3
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.749 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] - Refreshing SpringContext (hybris Application context - junit) took: (3.530 s)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.749 | INFO  [localhost-startStop-1] (junit) [HybrisContextFactory] Initializing application Spring ApplicationContext for tenant junit  took: (4.079 s)
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.749 | WARN  [AfterSaveEventPublisher-junit] (junit) [DefaultTaskService] System not initialized. Not starting task module.
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.749 | WARN  [AfterSaveEventPublisher-junit] (junit) [DefaultTaskService] System not initialized. Not starting task module.
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.951 | INFO  [localhost-startStop-1] (junit) [RemoveDefaultSessionFixationStrategyBeanPostProcessor] Removed Spring default SessionFixationProtectionStrategy, since HybrisSessionFixationProtectionStrategy is already defined
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:07.951 | INFO  [localhost-startStop-1] [HybrisContextLoaderListener] Registered HttpSession timeout listener for '/hac_junit'
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.555 | INFO  [localhost-startStop-1] [HybrisContextLoaderListener] Registered HttpSession timeout listener for '/test'
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | Jan 07, 2018 1:44:09 PM org.apache.coyote.AbstractProtocol start
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | INFO: Starting ProtocolHandler ["http-bio-9001"]
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | Jan 07, 2018 1:44:09 PM org.apache.coyote.AbstractProtocol start
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | INFO: Starting ProtocolHandler ["http-bio-9002"]
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | Jan 07, 2018 1:44:09 PM org.apache.coyote.AbstractProtocol start
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | INFO: Starting ProtocolHandler ["ajp-bio-8009"]
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | Jan 07, 2018 1:44:09 PM org.apache.catalina.startup.Catalina start
INFO   | jvm 1    | srvmain | 2018/01/07 13:44:09.957 | INFO: Server startup in 28305 ms
INFO   | jvm 1    | srvmain | 2018/01/07 13:50:22.202 | Jan 07, 2018 1:50:22 PM org.apache.jasper.compiler.TldLocationsCache tldScanJar
INFO   | jvm 1    | srvmain | 2018/01/07 13:50:22.202 | INFO: At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
INFO   | jvm 1    | srvmain | 2018/01/07 13:50:27.533 | WARN  [hybrisHTTP19] [ExtensibleItemEJB] Error decrypting property 'encodedPassword' of item 8796093054980 - probably not encrypted? Using raw value!
